LAND,MODELLART,OBJART,OBJART_TXT,OBJID,HDU_X,FDV_X,BEGINN,ENDE,ADM,AVG,BEZ_GEM,BEZ_VWG,BEZ_KRS,BEZ_LAN,BEZ_RBZ,SCH,WKR_NR,WKR_NAME
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Id,,"0",2021-11-03T21:16:21Z,,"6003",,Altötting,,Altötting,Freistaat Bayern,Oberbayern,"09171111","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ie,,"0",2022-02-02T21:16:32Z,,"6003",,Burghausen,,Altötting,Freistaat Bayern,Oberbayern,"09171112","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001If,,"0",2022-03-25T21:16:24Z,,"6001",,Burgkirchen a.d.Alz,,Altötting,Freistaat Bayern,Oberbayern,"09171113","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ig,,"0",2021-11-03T21:16:21Z,,6001#6010,,Emmerting,,Altötting,Freistaat Bayern,Oberbayern,"09171114","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ih,,"0",2021-12-08T21:16:18Z,,6001#6010,,Erlbach,,Altötting,Freistaat Bayern,Oberbayern,"09171115","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ii,,"0",2021-09-10T21:18:37Z,,6001#6010,,Feichten a.d.Alz,,Altötting,Freistaat Bayern,Oberbayern,"09171116","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ij,,"0",2022-03-25T21:16:24Z,,"6001",,Garching a.d.Alz,,Altötting,Freistaat Bayern,Oberbayern,"09171117","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ik,,"0",2022-02-02T21:16:32Z,,"6001",,Haiming,,Altötting,Freistaat Bayern,Oberbayern,"09171118","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Il,,"0",2021-09-10T21:18:37Z,,6001#6010,,Halsbach,,Altötting,Freistaat Bayern,Oberbayern,"09171119","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Im,,"0",2021-11-03T21:16:21Z,,6001#6010,,Kastl,,Altötting,Freistaat Bayern,Oberbayern,"09171121","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001In,,"0",2021-09-10T21:18:37Z,,6001#6010,,Kirchweidach,,Altötting,Freistaat Bayern,Oberbayern,"09171122","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Io,,"0",2022-02-02T21:16:32Z,,6010#6012,,Marktl,,Altötting,Freistaat Bayern,Oberbayern,"09171123","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ip,,"0",2021-11-03T21:16:21Z,,6001#6010,,Mehring,,Altötting,Freistaat Bayern,Oberbayern,"09171124","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iq,,"0",2021-11-03T21:16:21Z,,"6003",,Neuötting,,Altötting,Freistaat Bayern,Oberbayern,"09171125","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ir,,"0",2021-11-03T21:16:21Z,,6001#6010,,Perach,,Altötting,Freistaat Bayern,Oberbayern,"09171126","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Is,,"0",2022-03-08T21:15:48Z,,"6001",,Pleiskirchen,,Altötting,Freistaat Bayern,Oberbayern,"09171127","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001It,,"0",2021-11-03T21:16:21Z,,6001#6010,,Reischach,,Altötting,Freistaat Bayern,Oberbayern,"09171129","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iu,,"0",2022-02-02T21:16:32Z,,6001#6010,,Stammham,,Altötting,Freistaat Bayern,Oberbayern,"09171130","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iv,,"0",2021-07-02T17:00:44Z,,"6001",,Teising,,Altötting,Freistaat Bayern,Oberbayern,"09171131","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iw,,"0",2021-11-03T21:16:21Z,,"6003",,Töging a.Inn,,Altötting,Freistaat Bayern,Oberbayern,"09171132","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Ix,,"0",2022-03-08T21:15:48Z,,"6012",,Tüßling,,Altötting,Freistaat Bayern,Oberbayern,"09171133","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iy,,"0",2021-09-10T21:18:37Z,,6001#6010,,Tyrlaching,,Altötting,Freistaat Bayern,Oberbayern,"09171134","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Iz,,"0",2021-07-02T17:00:44Z,,6001#6010,,Unterneukirchen,,Altötting,Freistaat Bayern,Oberbayern,"09171135","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001J0,,"0",2021-11-03T21:16:21Z,,"6001",,Winhöring,,Altötting,Freistaat Bayern,Oberbayern,"09171137","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Dl,,"0",2021-07-02T17:00:44Z,,6001#6010,,Rechtmehring,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183139","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Dm,,"0",2021-10-27T21:45:59Z,,6001#6010,,Reichertsheim,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183140","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Dn,,"0",2021-10-07T21:18:17Z,,6001#6010,,Schönberg,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183143","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Do,,"0",2021-07-02T17:00:44Z,,"6001",,Schwindegg,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183144","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Dp,,"0",2022-03-04T21:16:19Z,,6001#6010,,Taufkirchen,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183145","211",Altötting
BY,Basis-DLM#DTK25,"75003",AX_KommunalesGebiet,DEBYBDLMjK0001Dq,,"0",2021-07-02T17:00:44Z,,6001#6010,,Unterreit,,Mühldorf a.Inn,Freistaat Bayern,Oberbayern,"09183147","211",Altötting
